job,rep,n_qubits,exp_val,n_shots,ideal,timestamp
j9_allan_probe,138,4,0.735352,2048,0.981197,2026-06-21T16:06:11.627021+00:00
j9_allan_probe,139,4,0.745117,2048,0.981197,2026-06-21T16:06:18.514368+00:00
j9_allan_probe,140,4,0.811523,2048,0.981197,2026-06-21T16:06:25.400709+00:00
j9_allan_probe,141,4,0.756836,2048,0.981197,2026-06-21T16:06:30.365296+00:00
j9_allan_probe,142,4,0.763672,2048,0.981197,2026-06-21T16:06:37.525885+00:00
j9_allan_probe,143,4,0.744141,2048,0.981197,2026-06-21T16:06:44.542019+00:00
j9_allan_probe,144,4,0.745117,2048,0.981197,2026-06-21T16:06:49.343359+00:00
j9_allan_probe,145,4,0.773438,2048,0.981197,2026-06-21T16:06:56.553962+00:00
j9_allan_probe,146,4,0.734375,2048,0.981197,2026-06-21T16:07:03.502955+00:00
j9_allan_probe,147,4,0.754883,2048,0.981197,2026-06-21T16:07:10.335742+00:00
j9_allan_probe,148,4,0.760742,2048,0.981197,2026-06-21T16:07:15.040561+00:00
j9_allan_probe,149,4,0.769531,2048,0.981197,2026-06-21T16:07:21.987353+00:00
